ART_AND_DESIGN VS AUTO_AND_VEHICLES:	 statistic= 47222286.0;	 p_value= 5.759674015715257e-06;
ART_AND_DESIGN VS BEAUTY:	 statistic= 21368104.0;	 p_value= 5.1862504580427026e-89;
ART_AND_DESIGN VS BOOKS_AND_REFERENCE:	 statistic= 7384210.5;	 p_value= 1.2520941084474832e-115;
ART_AND_DESIGN VS BUSINESS:	 statistic= 8691769.0;	 p_value= 2.4128115652693913e-157;
ART_AND_DESIGN VS COMICS:	 statistic= 39591926.5;	 p_value= 0.0;
ART_AND_DESIGN VS COMMUNICATION:	 statistic= 5543783.5;	 p_value= 4.9807145719575344e-127;
ART_AND_DESIGN VS DATING:	 statistic= 17590856.0;	 p_value= 6.171266917306733e-199;
ART_AND_DESIGN VS EDUCATION:	 statistic= 20394108.5;	 p_value= 1.2653130084590858e-07;
ART_AND_DESIGN VS ENTERTAINMENT:	 statistic= 20152508.5;	 p_value= 1.792961546440192e-47;
ART_AND_DESIGN VS EVENTS:	 statistic= 26032881.5;	 p_value= 2.908371691851388e-107;
ART_AND_DESIGN VS FINANCE:	 statistic= 13166380.5;	 p_value= 4.164134396317573e-67;
ART_AND_DESIGN VS FOOD_AND_DRINK:	 statistic= 25642968.0;	 p_value= 0.0;
ART_AND_DESIGN VS HEALTH_AND_FITNESS:	 statistic= 3560574.5;	 p_value= 0.00015684350033330893;
ART_AND_DESIGN VS HOUSE_AND_HOME:	 statistic= 25370888.5;	 p_value= 2.1074158618576208e-294;
ART_AND_DESIGN VS LIBRARIES_AND_DEMO:	 statistic= 18580301.5;	 p_value= 5.974131586410661e-126;
ART_AND_DESIGN VS LIFESTYLE:	 statistic= 25588000.0;	 p_value= 2.0777239708837657e-108;
ART_AND_DESIGN VS MAPS_AND_NAVIGATION:	 statistic= 33466847.0;	 p_value= 1.0123134763534956e-57;
ART_AND_DESIGN VS MEDICAL:	 statistic= 28403884.5;	 p_value= 0.0;
ART_AND_DESIGN VS MUSIC_AND_AUDIO:	 statistic= 10414457.0;	 p_value= 5.915531041594114e-05;
ART_AND_DESIGN VS NEWS_AND_MAGAZINES:	 statistic= 14841085.5;	 p_value= 2.3067331435917068e-80;
ART_AND_DESIGN VS PARENTING:	 statistic= 44898385.0;	 p_value= 5.748273912141198e-42;
ART_AND_DESIGN VS PERSONALIZATION:	 statistic= 25628067.5;	 p_value= 6.299019880017939e-08;
ART_AND_DESIGN VS PHOTOGRAPHY:	 statistic= 5501103.0;	 p_value= 5.522322888501711e-103;
ART_AND_DESIGN VS PRODUCTIVITY:	 statistic= 9662456.5;	 p_value= 4.228448511048139e-15;
ART_AND_DESIGN VS SHOPPING:	 statistic= 6731052.0;	 p_value= 1.8501644986216957e-100;
ART_AND_DESIGN VS SOCIAL:	 statistic= 9006337.5;	 p_value= 2.812813740522012e-152;
ART_AND_DESIGN VS SPORTS:	 statistic= 27565788.5;	 p_value= 1.312431063973245e-72;
ART_AND_DESIGN VS TOOLS:	 statistic= 16416750.0;	 p_value= 4.1566168583135273e-38;
ART_AND_DESIGN VS TRAVEL_AND_LOCAL:	 statistic= 7403420.5;	 p_value= 2.5427284815052665e-92;
ART_AND_DESIGN VS VIDEO_PLAYERS:	 statistic= 4768513.0;	 p_value= 4.6914802243800435e-07;
ART_AND_DESIGN VS WEATHER:	 statistic= 16514731.5;	 p_value= 1.2864182797896986e-36;
ART_AND_DESIGN VS GAME:	 statistic= 262175092.0;	 p_value= 2.609905597310311e-19;
AUTO_AND_VEHICLES VS BEAUTY:	 statistic= 28286689.0;	 p_value= 3.178542481505497e-59;
AUTO_AND_VEHICLES VS BOOKS_AND_REFERENCE:	 statistic= 9899755.0;	 p_value= 1.050578528817342e-85;
AUTO_AND_VEHICLES VS BUSINESS:	 statistic= 11730086.5;	 p_value= 2.5017834328421864e-118;
AUTO_AND_VEHICLES VS COMICS:	 statistic= 49197581.5;	 p_value= 0.0;
AUTO_AND_VEHICLES VS COMMUNICATION:	 statistic= 7469170.5;	 p_value= 4.083218958231452e-97;
AUTO_AND_VEHICLES VS DATING:	 statistic= 23588922.0;	 p_value= 4.1793564376940563e-153;
AUTO_AND_VEHICLES VS ENTERTAINMENT:	 statistic= 26508269.0;	 p_value= 9.760002657672311e-28;
AUTO_AND_VEHICLES VS EVENTS:	 statistic= 34533394.0;	 p_value= 1.670860707232728e-72;
AUTO_AND_VEHICLES VS FINANCE:	 statistic= 17416399.0;	 p_value= 4.473801255517215e-44;
AUTO_AND_VEHICLES VS FOOD_AND_DRINK:	 statistic= 34980151.5;	 p_value= 0.0;
AUTO_AND_VEHICLES VS HEALTH_AND_FITNESS:	 statistic= 4658156.0;	 p_value= 0.03909886962374123;
AUTO_AND_VEHICLES VS HOUSE_AND_HOME:	 statistic= 34223027.5;	 p_value= 5.8357055631160195e-236;
AUTO_AND_VEHICLES VS LIBRARIES_AND_DEMO:	 statistic= 24681627.5;	 p_value= 1.7186357478493587e-91;
AUTO_AND_VEHICLES VS LIFESTYLE:	 statistic= 33937828.0;	 p_value= 1.2437226777594266e-73;
AUTO_AND_VEHICLES VS MAPS_AND_NAVIGATION:	 statistic= 44087395.5;	 p_value= 1.1024880548820234e-32;
AUTO_AND_VEHICLES VS MEDICAL:	 statistic= 38558391.0;	 p_value= 0.0;
AUTO_AND_VEHICLES VS NEWS_AND_MAGAZINES:	 statistic= 19677650.5;	 p_value= 1.8215330229416417e-53;
AUTO_AND_VEHICLES VS PARENTING:	 statistic= 59125844.0;	 p_value= 2.5963490295241047e-19;
AUTO_AND_VEHICLES VS PERSONALIZATION:	 statistic= 33410031.5;	 p_value= 0.03944506863011439;
AUTO_AND_VEHICLES VS PHOTOGRAPHY:	 statistic= 7354140.5;	 p_value= 1.0487276787124285e-78;
AUTO_AND_VEHICLES VS PRODUCTIVITY:	 statistic= 12679254.0;	 p_value= 6.453822237563451e-07;
AUTO_AND_VEHICLES VS SHOPPING:	 statistic= 9039340.5;	 p_value= 5.540158220247799e-72;
AUTO_AND_VEHICLES VS SOCIAL:	 statistic= 12060907.0;	 p_value= 3.3378439365568146e-118;
AUTO_AND_VEHICLES VS SPORTS:	 statistic= 36478192.5;	 p_value= 1.8712942665387897e-43;
AUTO_AND_VEHICLES VS TOOLS:	 statistic= 21572983.5;	 p_value= 1.0427905818156492e-21;
AUTO_AND_VEHICLES VS TRAVEL_AND_LOCAL:	 statistic= 9890938.5;	 p_value= 3.1311052051036214e-66;
AUTO_AND_VEHICLES VS VIDEO_PLAYERS:	 statistic= 6246544.5;	 p_value= 0.0029456753422008835;
AUTO_AND_VEHICLES VS WEATHER:	 statistic= 21837344.5;	 p_value= 4.594317785864862e-18;
AUTO_AND_VEHICLES VS GAME:	 statistic= 343314518.0;	 p_value= 0.00039854042239676553;
BEAUTY VS BOOKS_AND_REFERENCE:	 statistic= 6078058.0;	 p_value= 2.225547076497905e-13;
BEAUTY VS BUSINESS:	 statistic= 7261928.5;	 p_value= 1.8416244593669754e-20;
BEAUTY VS COMICS:	 statistic= 21687623.0;	 p_value= 0.0;
BEAUTY VS COMMUNICATION:	 statistic= 4601051.0;	 p_value= 3.9234034358368884e-22;
BEAUTY VS DATING:	 statistic= 14476386.0;	 p_value= 1.1330501696072264e-20;
BEAUTY VS EDUCATION:	 statistic= 12544703.0;	 p_value= 3.843032886003374e-34;
BEAUTY VS ENTERTAINMENT:	 statistic= 14778145.0;	 p_value= 8.150505416061452e-05;
BEAUTY VS FOOD_AND_DRINK:	 statistic= 21794141.5;	 p_value= 2.835168142232671e-84;
BEAUTY VS HEALTH_AND_FITNESS:	 statistic= 2276279.0;	 p_value= 4.090979035287152e-08;
BEAUTY VS HOUSE_AND_HOME:	 statistic= 21162080.0;	 p_value= 4.534945557358092e-37;
BEAUTY VS LIBRARIES_AND_DEMO:	 statistic= 15001531.5;	 p_value= 1.6253351707033744e-05;
BEAUTY VS MAPS_AND_NAVIGATION:	 statistic= 24199546.0;	 p_value= 4.5986898089726525e-08;
BEAUTY VS MEDICAL:	 statistic= 23940484.5;	 p_value= 3.109471429167538e-64;
BEAUTY VS MUSIC_AND_AUDIO:	 statistic= 6335601.5;	 p_value= 2.8421314189070045e-25;
BEAUTY VS PARENTING:	 statistic= 30543071.0;	 p_value= 1.4938467912616659e-21;
BEAUTY VS PERSONALIZATION:	 statistic= 15849502.0;	 p_value= 7.053053038733255e-35;
BEAUTY VS PHOTOGRAPHY:	 statistic= 4491050.0;	 p_value= 2.0810172953889404e-16;
BEAUTY VS PRODUCTIVITY:	 statistic= 6488035.0;	 p_value= 4.924020612578401e-11;
BEAUTY VS SHOPPING:	 statistic= 5552984.5;	 p_value= 8.604043580120286e-10;
BEAUTY VS SOCIAL:	 statistic= 7355808.0;	 p_value= 3.4201380430969065e-24;
BEAUTY VS SPORTS:	 statistic= 20743644.5;	 p_value= 0.00014735352080879986;
BEAUTY VS TOOLS:	 statistic= 11858053.0;	 p_value= 7.658029434529968e-06;
BEAUTY VS TRAVEL_AND_LOCAL:	 statistic= 6043114.0;	 p_value= 7.990155319474032e-08;
BEAUTY VS VIDEO_PLAYERS:	 statistic= 3122929.5;	 p_value= 2.181119021667178e-08;
BEAUTY VS WEATHER:	 statistic= 11688167.0;	 p_value= 1.3952320223387569e-09;
BEAUTY VS GAME:	 statistic= 162540871.0;	 p_value= 4.487451862697763e-68;
BOOKS_AND_REFERENCE VS COMICS:	 statistic= 7348773.0;	 p_value= 0.0;
BOOKS_AND_REFERENCE VS COMMUNICATION:	 statistic= 1991440.5;	 p_value= 0.0046142993564022025;
BOOKS_AND_REFERENCE VS EDUCATION:	 statistic= 4385205.5;	 p_value= 7.044911588168008e-62;
BOOKS_AND_REFERENCE VS ENTERTAINMENT:	 statistic= 5240791.5;	 p_value= 4.534884493151442e-23;
BOOKS_AND_REFERENCE VS EVENTS:	 statistic= 7485758.5;	 p_value= 1.4242743795389283e-13;
BOOKS_AND_REFERENCE VS FINANCE:	 statistic= 3769204.5;	 p_value= 1.7884434571189812e-10;
BOOKS_AND_REFERENCE VS FOOD_AND_DRINK:	 statistic= 9509938.5;	 p_value= 1.3166684249438928e-10;
BOOKS_AND_REFERENCE VS HEALTH_AND_FITNESS:	 statistic= 798556.5;	 p_value= 1.5032348411716558e-20;
BOOKS_AND_REFERENCE VS LIBRARIES_AND_DEMO:	 statistic= 5809693.5;	 p_value= 5.628371913142226e-05;
BOOKS_AND_REFERENCE VS LIFESTYLE:	 statistic= 7430201.5;	 p_value= 9.667163894555859e-12;
BOOKS_AND_REFERENCE VS MAPS_AND_NAVIGATION:	 statistic= 8538093.0;	 p_value= 3.518719264384519e-31;
BOOKS_AND_REFERENCE VS MEDICAL:	 statistic= 10419598.0;	 p_value= 6.980699061595076e-06;
BOOKS_AND_REFERENCE VS MUSIC_AND_AUDIO:	 statistic= 2203600.5;	 p_value= 1.7279740966406008e-50;
BOOKS_AND_REFERENCE VS NEWS_AND_MAGAZINES:	 statistic= 4299737.5;	 p_value= 1.0345282182323311e-10;
BOOKS_AND_REFERENCE VS PARENTING:	 statistic= 10673438.0;	 p_value= 6.190136777574364e-51;
BOOKS_AND_REFERENCE VS PERSONALIZATION:	 statistic= 5579682.5;	 p_value= 4.104860167551006e-61;
BOOKS_AND_REFERENCE VS PHOTOGRAPHY:	 statistic= 1932165.5;	 p_value= 0.04666557129737084;
BOOKS_AND_REFERENCE VS PRODUCTIVITY:	 statistic= 2276270.5;	 p_value= 4.697706861220054e-31;
BOOKS_AND_REFERENCE VS SOCIAL:	 statistic= 3164371.0;	 p_value= 0.012968910854969448;
BOOKS_AND_REFERENCE VS SPORTS:	 statistic= 7290181.5;	 p_value= 7.234233207503738e-26;
BOOKS_AND_REFERENCE VS TOOLS:	 statistic= 4194191.5;	 p_value= 1.6201471286666698e-24;
BOOKS_AND_REFERENCE VS VIDEO_PLAYERS:	 statistic= 1096519.5;	 p_value= 1.0543877735522645e-22;
BOOKS_AND_REFERENCE VS WEATHER:	 statistic= 4085424.0;	 p_value= 4.721794918235589e-33;
BOOKS_AND_REFERENCE VS GAME:	 statistic= 56693680.5;	 p_value= 4.6621395797466505e-92;
BUSINESS VS COMICS:	 statistic= 8509259.5;	 p_value= 0.0;
BUSINESS VS COMMUNICATION:	 statistic= 2459894.5;	 p_value= 0.02778661559438128;
BUSINESS VS EDUCATION:	 statistic= 5196246.5;	 p_value= 5.9592986394854e-83;
BUSINESS VS ENTERTAINMENT:	 statistic= 6256262.0;	 p_value= 6.668214001342702e-33;
BUSINESS VS EVENTS:	 statistic= 8940563.0;	 p_value= 3.482395036130557e-21;
BUSINESS VS FINANCE:	 statistic= 4509691.5;	 p_value= 1.9254394330024327e-15;
BUSINESS VS FOOD_AND_DRINK:	 statistic= 11729922.5;	 p_value= 1.9286510905665232e-09;
BUSINESS VS HEALTH_AND_FITNESS:	 statistic= 947384.0;	 p_value= 1.742933291969257e-25;
BUSINESS VS LIBRARIES_AND_DEMO:	 statistic= 6960671.5;	 p_value= 2.9308361183544594e-08;
BUSINESS VS LIFESTYLE:	 statistic= 8890121.5;	 p_value= 3.432371669253905e-18;
BUSINESS VS MAPS_AND_NAVIGATION:	 statistic= 10174659.5;	 p_value= 1.854814733154967e-45;
BUSINESS VS MEDICAL:	 statistic= 12866276.0;	 p_value= 0.00013512482328091068;
BUSINESS VS MUSIC_AND_AUDIO:	 statistic= 2605635.5;	 p_value= 1.8516991405283425e-65;
BUSINESS VS NEWS_AND_MAGAZINES:	 statistic= 5138479.5;	 p_value= 3.0196869988039847e-16;
BUSINESS VS PARENTING:	 statistic= 12665552.5;	 p_value= 8.57457839720344e-74;
BUSINESS VS PERSONALIZATION:	 statistic= 6623235.0;	 p_value= 9.220635789984631e-83;
BUSINESS VS PRODUCTIVITY:	 statistic= 2701875.0;	 p_value= 1.8522838685193342e-41;
BUSINESS VS SHOPPING:	 statistic= 2796493.0;	 p_value= 0.028556369036864582;
BUSINESS VS SPORTS:	 statistic= 8679556.5;	 p_value= 1.8779144027012735e-38;
BUSINESS VS TOOLS:	 statistic= 4996914.5;	 p_value= 1.0234117720793997e-34;
BUSINESS VS TRAVEL_AND_LOCAL:	 statistic= 2971459.5;	 p_value= 0.004602852975163435;
BUSINESS VS VIDEO_PLAYERS:	 statistic= 1301738.5;	 p_value= 9.00446128453675e-29;
BUSINESS VS WEATHER:	 statistic= 4857107.5;	 p_value= 5.4624447811909425e-46;
BUSINESS VS GAME:	 statistic= 67133270.0;	 p_value= 1.5522526522786867e-134;
COMICS VS COMMUNICATION:	 statistic= 5504208.5;	 p_value= 0.0;
COMICS VS DATING:	 statistic= 17531484.0;	 p_value= 0.0;
COMICS VS EDUCATION:	 statistic= 21103036.5;	 p_value= 0.0;
COMICS VS ENTERTAINMENT:	 statistic= 20832436.0;	 p_value= 0.0;
COMICS VS EVENTS:	 statistic= 26203099.0;	 p_value= 0.0;
COMICS VS FINANCE:	 statistic= 13460759.0;	 p_value= 0.0;
COMICS VS FOOD_AND_DRINK:	 statistic= 25002712.0;	 p_value= 0.0;
COMICS VS HEALTH_AND_FITNESS:	 statistic= 3676914.0;	 p_value= 6.972813647361472e-121;
COMICS VS HOUSE_AND_HOME:	 statistic= 24917252.0;	 p_value= 0.0;
COMICS VS LIBRARIES_AND_DEMO:	 statistic= 18797943.5;	 p_value= 0.0;
COMICS VS LIFESTYLE:	 statistic= 26034163.5;	 p_value= 0.0;
COMICS VS MAPS_AND_NAVIGATION:	 statistic= 34290217.5;	 p_value= 0.0;
COMICS VS MEDICAL:	 statistic= 27798993.5;	 p_value= 0.0;
COMICS VS MUSIC_AND_AUDIO:	 statistic= 10686549.0;	 p_value= 1.3779693108218855e-232;
COMICS VS NEWS_AND_MAGAZINES:	 statistic= 14980806.5;	 p_value= 0.0;
COMICS VS PARENTING:	 statistic= 45541525.0;	 p_value= 0.0;
COMICS VS PERSONALIZATION:	 statistic= 26801546.5;	 p_value= 0.0;
COMICS VS PHOTOGRAPHY:	 statistic= 5547438.0;	 p_value= 0.0;
COMICS VS PRODUCTIVITY:	 statistic= 9880164.0;	 p_value= 5.133197572163927e-290;
COMICS VS SHOPPING:	 statistic= 6696795.0;	 p_value= 0.0;
COMICS VS SOCIAL:	 statistic= 9135587.5;	 p_value= 0.0;
COMICS VS SPORTS:	 statistic= 27734441.5;	 p_value= 0.0;
COMICS VS TOOLS:	 statistic= 16852655.0;	 p_value= 0.0;
COMICS VS TRAVEL_AND_LOCAL:	 statistic= 7435964.5;	 p_value= 0.0;
COMICS VS VIDEO_PLAYERS:	 statistic= 4911925.0;	 p_value= 5.0251915049381406e-164;
COMICS VS WEATHER:	 statistic= 16694648.0;	 p_value= 0.0;
COMICS VS GAME:	 statistic= 269743364.5;	 p_value= 0.0;
COMMUNICATION VS DATING:	 statistic= 4724582.0;	 p_value= 0.0008167740018254;
COMMUNICATION VS EDUCATION:	 statistic= 3305597.0;	 p_value= 1.3773254869148863e-73;
COMMUNICATION VS ENTERTAINMENT:	 statistic= 3970413.5;	 p_value= 9.726909636408631e-33;
COMMUNICATION VS EVENTS:	 statistic= 5659959.5;	 p_value= 8.725688709191634e-23;
COMMUNICATION VS FINANCE:	 statistic= 2856383.5;	 p_value= 6.648456740319434e-18;
COMMUNICATION VS FOOD_AND_DRINK:	 statistic= 7926449.0;	 p_value= 0.007811406551307378;
COMMUNICATION VS HEALTH_AND_FITNESS:	 statistic= 602835.5;	 p_value= 5.115382916896975e-27;
COMMUNICATION VS HOUSE_AND_HOME:	 statistic= 7240360.5;	 p_value= 0.03321855745994702;
COMMUNICATION VS LIBRARIES_AND_DEMO:	 statistic= 4407140.0;	 p_value= 5.037076389956113e-11;
COMMUNICATION VS LIFESTYLE:	 statistic= 5625465.5;	 p_value= 2.264815122541515e-20;
COMMUNICATION VS MAPS_AND_NAVIGATION:	 statistic= 6453271.5;	 p_value= 2.212252461970674e-42;
COMMUNICATION VS MUSIC_AND_AUDIO:	 statistic= 1657361.0;	 p_value= 1.5487570888162676e-61;
COMMUNICATION VS NEWS_AND_MAGAZINES:	 statistic= 3253424.0;	 p_value= 1.3269865354673119e-18;
COMMUNICATION VS PARENTING:	 statistic= 8035405.0;	 p_value= 1.0067509292029862e-63;
COMMUNICATION VS PERSONALIZATION:	 statistic= 4220911.0;	 p_value= 4.0567437922270866e-72;
COMMUNICATION VS PRODUCTIVITY:	 statistic= 1717625.5;	 p_value= 9.181143633075961e-41;
COMMUNICATION VS SHOPPING:	 statistic= 1764037.0;	 p_value= 0.0002644072988473287;
COMMUNICATION VS SPORTS:	 statistic= 5497803.0;	 p_value= 4.317449796128034e-37;
COMMUNICATION VS TOOLS:	 statistic= 3174841.0;	 p_value= 3.712803455408071e-34;
COMMUNICATION VS TRAVEL_AND_LOCAL:	 statistic= 1877271.0;	 p_value= 2.758998648569954e-05;
COMMUNICATION VS VIDEO_PLAYERS:	 statistic= 827889.0;	 p_value= 4.298133644079993e-30;
COMMUNICATION VS WEATHER:	 statistic= 3073650.5;	 p_value= 1.2601433734113577e-44;
COMMUNICATION VS GAME:	 statistic= 42687135.5;	 p_value= 9.35563914425041e-104;
DATING VS EDUCATION:	 statistic= 10447978.0;	 p_value= 3.809272177158624e-95;
DATING VS ENTERTAINMENT:	 statistic= 12485150.0;	 p_value= 1.857704124805209e-35;
DATING VS EVENTS:	 statistic= 17828964.0;	 p_value= 7.696645293335609e-22;
DATING VS FINANCE:	 statistic= 8978815.0;	 p_value= 1.6838286437857346e-14;
DATING VS FOOD_AND_DRINK:	 statistic= 22556093.0;	 p_value= 4.3169135048595185e-19;
DATING VS HEALTH_AND_FITNESS:	 statistic= 1902388.0;	 p_value= 2.2867396042847773e-23;
DATING VS HOUSE_AND_HOME:	 statistic= 21782965.0;	 p_value= 0.01131054560231383;
DATING VS LIBRARIES_AND_DEMO:	 statistic= 13836585.0;	 p_value= 7.394112760586391e-07;
DATING VS LIFESTYLE:	 statistic= 17699057.0;	 p_value= 1.5677745778276674e-18;
DATING VS MAPS_AND_NAVIGATION:	 statistic= 20339164.0;	 p_value= 2.06319247488757e-53;
DATING VS MEDICAL:	 statistic= 24717463.0;	 p_value= 3.1820508210743915e-10;
DATING VS MUSIC_AND_AUDIO:	 statistic= 5249599.0;	 p_value= 2.752303777447496e-68;
DATING VS NEWS_AND_MAGAZINES:	 statistic= 10241128.0;	 p_value= 2.5405828474580873e-15;
DATING VS PARENTING:	 statistic= 25423399.0;	 p_value= 1.0066439684029086e-92;
DATING VS PERSONALIZATION:	 statistic= 13294117.0;	 p_value= 1.9757340998426473e-97;
DATING VS PHOTOGRAPHY:	 statistic= 4584033.0;	 p_value= 0.019625155319439026;
DATING VS PRODUCTIVITY:	 statistic= 5421838.0;	 p_value= 1.0824260656174008e-41;
DATING VS SOCIAL:	 statistic= 7506216.0;	 p_value= 0.00211167961182581;
DATING VS SPORTS:	 statistic= 17363209.0;	 p_value= 3.539087927339445e-43;
DATING VS TOOLS:	 statistic= 9990210.0;	 p_value= 2.06017559684687e-36;
DATING VS TRAVEL_AND_LOCAL:	 statistic= 5895732.0;	 p_value= 0.043966454666514956;
DATING VS VIDEO_PLAYERS:	 statistic= 2612095.0;	 p_value= 7.085988638126113e-27;
DATING VS WEATHER:	 statistic= 9732414.0;	 p_value= 6.194271301300562e-50;
DATING VS GAME:	 statistic= 135063488.0;	 p_value= 3.65148286855633e-200;
EDUCATION VS ENTERTAINMENT:	 statistic= 11753114.5;	 p_value= 1.284157197242315e-15;
EDUCATION VS EVENTS:	 statistic= 15318634.5;	 p_value= 3.38923046819591e-40;
EDUCATION VS FINANCE:	 statistic= 7719702.5;	 p_value= 4.009372091303675e-28;
EDUCATION VS FOOD_AND_DRINK:	 statistic= 15464667.0;	 p_value= 2.1146021903391756e-213;
EDUCATION VS HOUSE_AND_HOME:	 statistic= 15157167.5;	 p_value= 5.803864224868768e-137;
EDUCATION VS LIBRARIES_AND_DEMO:	 statistic= 10939681.0;	 p_value= 1.2404395891585255e-55;
EDUCATION VS LIFESTYLE:	 statistic= 15042319.5;	 p_value= 1.611359913624227e-41;
EDUCATION VS MAPS_AND_NAVIGATION:	 statistic= 19557197.5;	 p_value= 2.9372480303709485e-16;
EDUCATION VS MEDICAL:	 statistic= 17059328.0;	 p_value= 8.834871967107788e-185;
EDUCATION VS NEWS_AND_MAGAZINES:	 statistic= 8727195.0;	 p_value= 3.652085418033516e-33;
EDUCATION VS PARENTING:	 statistic= 26254661.0;	 p_value= 3.1440178164406686e-08;
EDUCATION VS PHOTOGRAPHY:	 statistic= 3255298.0;	 p_value= 7.135152304764334e-60;
EDUCATION VS PRODUCTIVITY:	 statistic= 5629926.5;	 p_value= 0.0005149399239735868;
EDUCATION VS SHOPPING:	 statistic= 4003481.0;	 p_value= 1.198806535010505e-52;
EDUCATION VS SOCIAL:	 statistic= 5334700.0;	 p_value= 6.083440487070534e-84;
EDUCATION VS SPORTS:	 statistic= 16191678.0;	 p_value= 8.499221835331114e-23;
EDUCATION VS TOOLS:	 statistic= 9572141.0;	 p_value= 2.122327120485201e-12;
EDUCATION VS TRAVEL_AND_LOCAL:	 statistic= 4381256.0;	 p_value= 9.734222948008275e-48;
EDUCATION VS VIDEO_PLAYERS:	 statistic= 2772909.0;	 p_value= 0.03703585732786619;
EDUCATION VS WEATHER:	 statistic= 9691907.5;	 p_value= 5.012321338656265e-10;
ENTERTAINMENT VS EVENTS:	 statistic= 18097693.5;	 p_value= 6.521343780126546e-06;
ENTERTAINMENT VS FINANCE:	 statistic= 9082027.5;	 p_value= 0.00017774725869600368;
ENTERTAINMENT VS FOOD_AND_DRINK:	 statistic= 18812169.5;	 p_value= 6.1675576996973374e-108;
ENTERTAINMENT VS HEALTH_AND_FITNESS:	 statistic= 2129663.5;	 p_value= 0.0005314712592132491;
ENTERTAINMENT VS HOUSE_AND_HOME:	 statistic= 18237908.0;	 p_value= 7.34155347561685e-57;
