ART_AND_DESIGN VS AUTO_AND_VEHICLES:	 statistic= 43476060.0;	 p_value= 3.474401638413657e-45;
ART_AND_DESIGN VS BEAUTY:	 statistic= 23866883.5;	 p_value= 8.691170719948406e-16;
ART_AND_DESIGN VS BOOKS_AND_REFERENCE:	 statistic= 8656399.5;	 p_value= 1.170380818236351e-29;
ART_AND_DESIGN VS BUSINESS:	 statistic= 11296034.5;	 p_value= 4.062214250866787e-12;
ART_AND_DESIGN VS COMICS:	 statistic= 45715542.0;	 p_value= 2.2867023238371364e-36;
ART_AND_DESIGN VS COMMUNICATION:	 statistic= 7680724.5;	 p_value= 0.002921276085488513;
ART_AND_DESIGN VS DATING:	 statistic= 20021348.5;	 p_value= 1.1547639457095637e-69;
ART_AND_DESIGN VS EDUCATION:	 statistic= 18032723.0;	 p_value= 1.859080731649697e-60;
ART_AND_DESIGN VS ENTERTAINMENT:	 statistic= 20555785.0;	 p_value= 8.376741206515091e-31;
ART_AND_DESIGN VS FINANCE:	 statistic= 14842867.0;	 p_value= 4.634054923398703e-10;
ART_AND_DESIGN VS FOOD_AND_DRINK:	 statistic= 35800438.5;	 p_value= 3.1785613238877985e-33;
ART_AND_DESIGN VS HOUSE_AND_HOME:	 statistic= 31949712.5;	 p_value= 1.1780705310706618e-40;
ART_AND_DESIGN VS LIBRARIES_AND_DEMO:	 statistic= 21887754.5;	 p_value= 3.9515115732880805e-14;
ART_AND_DESIGN VS MAPS_AND_NAVIGATION:	 statistic= 36632962.5;	 p_value= 2.15904938356852e-06;
ART_AND_DESIGN VS MEDICAL:	 statistic= 38486474.0;	 p_value= 2.2103114260520644e-29;
ART_AND_DESIGN VS MUSIC_AND_AUDIO:	 statistic= 10377898.0;	 p_value= 6.164421878283898e-05;
ART_AND_DESIGN VS NEWS_AND_MAGAZINES:	 statistic= 14696584.5;	 p_value= 5.2767103361769886e-76;
ART_AND_DESIGN VS PARENTING:	 statistic= 48953441.5;	 p_value= 0.03208971347706023;
ART_AND_DESIGN VS PERSONALIZATION:	 statistic= 26029726.0;	 p_value= 0.0007832397176082843;
ART_AND_DESIGN VS PHOTOGRAPHY:	 statistic= 7016558.5;	 p_value= 3.125956306499879e-09;
ART_AND_DESIGN VS PRODUCTIVITY:	 statistic= 9994335.5;	 p_value= 2.300924516832654e-06;
ART_AND_DESIGN VS SHOPPING:	 statistic= 6841297.0;	 p_value= 6.798938447026314e-80;
ART_AND_DESIGN VS SOCIAL:	 statistic= 9120750.0;	 p_value= 2.047159652468302e-124;
ART_AND_DESIGN VS SPORTS:	 statistic= 29329835.0;	 p_value= 1.091982972065819e-25;
ART_AND_DESIGN VS TOOLS:	 statistic= 17736817.0;	 p_value= 1.035783776343473e-06;
ART_AND_DESIGN VS TRAVEL_AND_LOCAL:	 statistic= 8917215.0;	 p_value= 1.601123757055719e-11;
ART_AND_DESIGN VS VIDEO_PLAYERS:	 statistic= 4880577.0;	 p_value= 0.0006971327987730906;
ART_AND_DESIGN VS WEATHER:	 statistic= 17079686.0;	 p_value= 2.341184425471128e-18;
ART_AND_DESIGN VS GAME:	 statistic= 267521924.0;	 p_value= 1.7375816906928242e-07;
AUTO_AND_VEHICLES VS BEAUTY:	 statistic= 31321947.5;	 p_value= 1.645675255715107e-05;
AUTO_AND_VEHICLES VS BOOKS_AND_REFERENCE:	 statistic= 12304659.0;	 p_value= 0.004709144695883401;
AUTO_AND_VEHICLES VS BUSINESS:	 statistic= 14956500.0;	 p_value= 0.001066914783976887;
AUTO_AND_VEHICLES VS COMICS:	 statistic= 62976843.0;	 p_value= 0.02157329549523175;
AUTO_AND_VEHICLES VS COMMUNICATION:	 statistic= 8650262.5;	 p_value= 5.031609416361441e-26;
AUTO_AND_VEHICLES VS DATING:	 statistic= 28513781.5;	 p_value= 1.626260459829003e-10;
AUTO_AND_VEHICLES VS EDUCATION:	 statistic= 25555902.5;	 p_value= 4.457246032716211e-09;
AUTO_AND_VEHICLES VS EVENTS:	 statistic= 35793514.5;	 p_value= 2.665101414116907e-38;
AUTO_AND_VEHICLES VS FINANCE:	 statistic= 16638914.5;	 p_value= 8.795771104044357e-62;
AUTO_AND_VEHICLES VS FOOD_AND_DRINK:	 statistic= 49277498.5;	 p_value= 0.018307227782083494;
AUTO_AND_VEHICLES VS HEALTH_AND_FITNESS:	 statistic= 4386576.5;	 p_value= 3.0284672432886703e-06;
AUTO_AND_VEHICLES VS LIBRARIES_AND_DEMO:	 statistic= 24504906.5;	 p_value= 1.14186354294528e-86;
AUTO_AND_VEHICLES VS LIFESTYLE:	 statistic= 35052249.0;	 p_value= 2.256216841081698e-41;
AUTO_AND_VEHICLES VS MAPS_AND_NAVIGATION:	 statistic= 44669897.5;	 p_value= 5.599329043527495e-21;
AUTO_AND_VEHICLES VS MEDICAL:	 statistic= 52060889.0;	 p_value= 0.0004423370873365298;
