ART_AND_DESIGN VS AUTO_AND_VEHICLES:	 statistic= -2.2295571352550065;	 p_value= 0.02578799007968957;
ART_AND_DESIGN VS BUSINESS:	 statistic= 3.3852344081551933;	 p_value= 0.0007135406585451529;
ART_AND_DESIGN VS DATING:	 statistic= -2.590445010695622;	 p_value= 0.009594978391696167;
ART_AND_DESIGN VS EDUCATION:	 statistic= -6.276950750842654;	 p_value= 3.557349905550253e-10;
ART_AND_DESIGN VS ENTERTAINMENT:	 statistic= -3.676147873664013;	 p_value= 0.00023766671167479693;
ART_AND_DESIGN VS EVENTS:	 statistic= 6.772876749032168;	 p_value= 1.3065191799706276e-11;
ART_AND_DESIGN VS FINANCE:	 statistic= 5.068503976499185;	 p_value= 4.067434990140241e-07;
ART_AND_DESIGN VS FOOD_AND_DRINK:	 statistic= 2.9062368565492784;	 p_value= 0.003662555962353995;
ART_AND_DESIGN VS HOUSE_AND_HOME:	 statistic= 4.374993838883137;	 p_value= 1.2216133045472556e-05;
ART_AND_DESIGN VS LIBRARIES_AND_DEMO:	 statistic= 5.706202541805927;	 p_value= 1.178454514995096e-08;
ART_AND_DESIGN VS LIFESTYLE:	 statistic= 2.619645803378621;	 p_value= 0.008810497111675033;
ART_AND_DESIGN VS MEDICAL:	 statistic= 6.199605725943257;	 p_value= 5.781115241026544e-10;
ART_AND_DESIGN VS NEWS_AND_MAGAZINES:	 statistic= -4.144426446564565;	 p_value= 3.4284345880026035e-05;
ART_AND_DESIGN VS PARENTING:	 statistic= 6.594246515632149;	 p_value= 4.3805293145509806e-11;
ART_AND_DESIGN VS PHOTOGRAPHY:	 statistic= 2.5614873057850196;	 p_value= 0.010436339883978333;
ART_AND_DESIGN VS PRODUCTIVITY:	 statistic= -3.0665563146599153;	 p_value= 0.002170571451632216;
ART_AND_DESIGN VS SHOPPING:	 statistic= -5.770957892454328;	 p_value= 8.098446357830163e-09;
ART_AND_DESIGN VS SOCIAL:	 statistic= -7.109201245226122;	 p_value= 1.2355321860362362e-12;
ART_AND_DESIGN VS SPORTS:	 statistic= 3.7791738770152348;	 p_value= 0.00015791699822386755;
ART_AND_DESIGN VS WEATHER:	 statistic= 3.671664466738323;	 p_value= 0.0002419396555081742;
ART_AND_DESIGN VS GAME:	 statistic= -2.885626853055035;	 p_value= 0.003907514988577093;
AUTO_AND_VEHICLES VS BUSINESS:	 statistic= 5.097724696698832;	 p_value= 3.4827869998015935e-07;
AUTO_AND_VEHICLES VS COMMUNICATION:	 statistic= 3.024248118224997;	 p_value= 0.0024974150125575004;
AUTO_AND_VEHICLES VS EDUCATION:	 statistic= -4.996908914266862;	 p_value= 5.887279489740556e-07;
AUTO_AND_VEHICLES VS ENTERTAINMENT:	 statistic= -1.9932590675401924;	 p_value= 0.04624968523680189;
AUTO_AND_VEHICLES VS EVENTS:	 statistic= 9.511493459679723;	 p_value= 2.106176133766391e-21;
AUTO_AND_VEHICLES VS FINANCE:	 statistic= 7.029027494053123;	 p_value= 2.1713015958105188e-12;
AUTO_AND_VEHICLES VS FOOD_AND_DRINK:	 statistic= 5.746096949855699;	 p_value= 9.264596484111673e-09;
AUTO_AND_VEHICLES VS HOUSE_AND_HOME:	 statistic= 7.224598063712043;	 p_value= 5.213286634770221e-13;
AUTO_AND_VEHICLES VS LIBRARIES_AND_DEMO:	 statistic= 8.066359326265781;	 p_value= 7.737914968827756e-16;
AUTO_AND_VEHICLES VS LIFESTYLE:	 statistic= 5.137879455032171;	 p_value= 2.8072847650198834e-07;
AUTO_AND_VEHICLES VS MEDICAL:	 statistic= 9.331064861428931;	 p_value= 1.1506216704997378e-20;
AUTO_AND_VEHICLES VS NEWS_AND_MAGAZINES:	 statistic= -2.9051126460664842;	 p_value= 0.003676497475866638;
AUTO_AND_VEHICLES VS PARENTING:	 statistic= 9.894730554284887;	 p_value= 4.892020814579854e-23;
AUTO_AND_VEHICLES VS PERSONALIZATION:	 statistic= 2.698310324748587;	 p_value= 0.006976045336515996;
AUTO_AND_VEHICLES VS PHOTOGRAPHY:	 statistic= 3.8966930410426155;	 p_value= 9.801034050710834e-05;
