ART_AND_DESIGN VS AUTO_AND_VEHICLES:	 statistic= 37303963.5;	 p_value= 6.701833257765251e-177;
ART_AND_DESIGN VS BEAUTY:	 statistic= 24387821.5;	 p_value= 1.340041897536813e-07;
ART_AND_DESIGN VS BOOKS_AND_REFERENCE:	 statistic= 8294320.5;	 p_value= 3.05077596396785e-38;
ART_AND_DESIGN VS BUSINESS:	 statistic= 8703626.5;	 p_value= 4.351720989158327e-118;
ART_AND_DESIGN VS COMICS:	 statistic= 31392951.5;	 p_value= 0.0;
ART_AND_DESIGN VS DATING:	 statistic= 19034611.0;	 p_value= 1.2522019426735814e-92;
ART_AND_DESIGN VS EDUCATION:	 statistic= 19556936.5;	 p_value= 3.0272620230899413e-16;
ART_AND_DESIGN VS ENTERTAINMENT:	 statistic= 20749639.5;	 p_value= 2.74691867761762e-22;
ART_AND_DESIGN VS EVENTS:	 statistic= 22435042.0;	 p_value= 1.3336025517715284e-218;
ART_AND_DESIGN VS FINANCE:	 statistic= 9465324.0;	 p_value= 1.4819848225113648e-271;
ART_AND_DESIGN VS FOOD_AND_DRINK:	 statistic= 24320817.0;	 p_value= 0.0;
ART_AND_DESIGN VS HEALTH_AND_FITNESS:	 statistic= 3217958.0;	 p_value= 8.431873696659961e-14;
ART_AND_DESIGN VS HOUSE_AND_HOME:	 statistic= 25132514.5;	 p_value= 5.473416935715702e-249;
ART_AND_DESIGN VS LIBRARIES_AND_DEMO:	 statistic= 22183936.0;	 p_value= 5.0491695628242986e-08;
ART_AND_DESIGN VS LIFESTYLE:	 statistic= 23901241.0;	 p_value= 1.0467053642800824e-138;
ART_AND_DESIGN VS MAPS_AND_NAVIGATION:	 statistic= 32838550.0;	 p_value= 5.403054817700852e-55;
ART_AND_DESIGN VS MEDICAL:	 statistic= 25966857.0;	 p_value= 0.0;
ART_AND_DESIGN VS MUSIC_AND_AUDIO:	 statistic= 10465547.0;	 p_value= 0.0022743646754515533;
ART_AND_DESIGN VS NEWS_AND_MAGAZINES:	 statistic= 14613198.5;	 p_value= 3.162568498606426e-68;
ART_AND_DESIGN VS PARENTING:	 statistic= 33247702.0;	 p_value= 0.0;
ART_AND_DESIGN VS PERSONALIZATION:	 statistic= 23420761.0;	 p_value= 1.2038243722639651e-38;
ART_AND_DESIGN VS PHOTOGRAPHY:	 statistic= 7146929.5;	 p_value= 2.7527472255504795e-05;
ART_AND_DESIGN VS PRODUCTIVITY:	 statistic= 10322594.5;	 p_value= 0.0375906824730866;
ART_AND_DESIGN VS SHOPPING:	 statistic= 6983561.0;	 p_value= 3.7896840455903164e-59;
ART_AND_DESIGN VS SOCIAL:	 statistic= 10370900.5;	 p_value= 6.497370947883871e-44;
ART_AND_DESIGN VS SPORTS:	 statistic= 25234586.0;	 p_value= 2.0209428270234937e-122;
ART_AND_DESIGN VS TOOLS:	 statistic= 18254367.0;	 p_value= 0.044013880164704845;
ART_AND_DESIGN VS TRAVEL_AND_LOCAL:	 statistic= 6164539.0;	 p_value= 1.1269880489241156e-156;
ART_AND_DESIGN VS VIDEO_PLAYERS:	 statistic= 4780941.0;	 p_value= 4.247738272860763e-05;
ART_AND_DESIGN VS WEATHER:	 statistic= 16031845.0;	 p_value= 1.7978260660246593e-39;
ART_AND_DESIGN VS GAME:	 statistic= 267895139.5;	 p_value= 5.341854837343162e-06;
AUTO_AND_VEHICLES VS BEAUTY:	 statistic= 23327886.5;	 p_value= 1.639576093062692e-201;
AUTO_AND_VEHICLES VS BOOKS_AND_REFERENCE:	 statistic= 12075298.0;	 p_value= 7.104882990772604e-05;
AUTO_AND_VEHICLES VS BUSINESS:	 statistic= 14513011.0;	 p_value= 8.803439228157401e-08;
AUTO_AND_VEHICLES VS COMICS:	 statistic= 55571696.5;	 p_value= 5.147709531781119e-65;
AUTO_AND_VEHICLES VS COMMUNICATION:	 statistic= 7633287.0;	 p_value= 1.0138193066525003e-62;
AUTO_AND_VEHICLES VS EDUCATION:	 statistic= 22879989.0;	 p_value= 7.925276424118959e-54;
AUTO_AND_VEHICLES VS ENTERTAINMENT:	 statistic= 25044606.0;	 p_value= 3.7757827897449493e-47;
AUTO_AND_VEHICLES VS EVENTS:	 statistic= 37444398.0;	 p_value= 2.393607975493672e-13;
AUTO_AND_VEHICLES VS FINANCE:	 statistic= 15960606.5;	 p_value= 1.6553286321714956e-75;
AUTO_AND_VEHICLES VS FOOD_AND_DRINK:	 statistic= 42040989.5;	 p_value= 5.1658552970821585e-86;
AUTO_AND_VEHICLES VS HEALTH_AND_FITNESS:	 statistic= 4440678.0;	 p_value= 0.00011461214162769713;
AUTO_AND_VEHICLES VS HOUSE_AND_HOME:	 statistic= 42040806.5;	 p_value= 1.228694154411652e-18;
AUTO_AND_VEHICLES VS LIBRARIES_AND_DEMO:	 statistic= 21670952.5;	 p_value= 3.389193205043324e-173;
AUTO_AND_VEHICLES VS MAPS_AND_NAVIGATION:	 statistic= 44094697.5;	 p_value= 2.651721319890353e-24;
AUTO_AND_VEHICLES VS MEDICAL:	 statistic= 44706457.0;	 p_value= 1.8809979096994013e-91;
AUTO_AND_VEHICLES VS MUSIC_AND_AUDIO:	 statistic= 10009349.0;	 p_value= 1.5082191904905404e-100;
AUTO_AND_VEHICLES VS NEWS_AND_MAGAZINES:	 statistic= 21585873.0;	 p_value= 1.0495273195504597e-07;
